index,datetime,symbol,signal,strategy
0,2023-01-10 09:18:16.258989-05:00,PCG,HOLD,double-dqn
1,2023-01-10 09:19:51.562328-05:00,ADMA,HOLD,double-dqn
2,2023-01-10 09:21:23.058060-05:00,AGI,HOLD,double-dqn
3,2023-01-10 09:22:54.973437-05:00,AGYS,HOLD,double-dqn
4,2023-01-10 09:24:25.592297-05:00,ALDX,HOLD,double-dqn
5,2023-01-10 09:25:53.548223-05:00,AM,HOLD,double-dqn
6,2023-01-10 09:27:22.584439-05:00,AMLX,HOLD,double-dqn
7,2023-01-10 09:28:52.432007-05:00,AMPY,HOLD,double-dqn
8,2023-01-10 09:31:41.482151-05:00,ARDX,HOLD,double-dqn
9,2023-01-10 09:35:21.306089-05:00,ARL,HOLD,double-dqn
10,2023-01-10 09:39:04.507422-05:00,ASC,HOLD,double-dqn
11,2023-01-10 09:42:47.069318-05:00,ASRT,HOLD,double-dqn
12,2023-01-10 09:46:31.475531-05:00,ASUR,HOLD,double-dqn
13,2023-01-10 09:50:21.943806-05:00,ATI,HOLD,double-dqn
14,2023-01-10 09:54:24.398192-05:00,ATXS,HOLD,double-dqn
15,2023-01-10 09:58:54.899248-05:00,AVEO,HOLD,double-dqn
16,2023-01-10 10:02:55.357984-05:00,AVTE,HOLD,double-dqn
17,2023-01-10 10:06:55.038878-05:00,BELFB,HOLD,double-dqn
18,2023-01-10 10:11:01.363562-05:00,CAAP,HOLD,double-dqn
19,2023-01-10 10:15:15.263683-05:00,CAAS,HOLD,double-dqn
20,2023-01-10 10:19:15.744302-05:00,CECO,HOLD,double-dqn
21,2023-01-10 10:23:05.691648-05:00,CEG,HOLD,double-dqn
22,2023-01-10 10:27:16.214340-05:00,CEIX,HOLD,double-dqn
23,2023-01-10 10:31:18.259202-05:00,CEPU,HOLD,double-dqn
24,2023-01-10 10:35:15.523387-05:00,CMPX,HOLD,double-dqn
25,2023-01-10 10:39:13.386490-05:00,CNCE,HOLD,double-dqn
26,2023-01-10 10:43:18.122886-05:00,COLL,HOLD,double-dqn
27,2023-01-10 10:47:12.878018-05:00,CPI,HOLD,double-dqn
28,2023-01-10 11:38:08.623154-05:00,CPRX,HOLD,double-dqn
29,2023-01-10 12:23:43.983624-05:00,CRT,HOLD,double-dqn
30,2023-01-10 13:43:23.483002-05:00,CVRX,HOLD,double-dqn
